id,weight,sex,education,region,age,income,job_prestige,mother_job_prestige,father_job_prestige,socioeconomic_index,satjob,relationship,male_breadwinner,men_bettersuited,child_suffer,men_overwork
1821,0.9429971097,male,14.0,w. nor. central,55.0,11391.25,44.0,27.0,35.0,28.7,very satisfied,strongly agree,agree,disagree,disagree,agree
1822,0.4714985548,male,17.0,w. nor. central,45.0,112160.0,51.0,38.0,50.0,58.1,mod. satisfied,strongly agree,disagree,disagree,strongly disagree,disagree
1823,0.9429971097,male,14.0,w. nor. central,66.0,14896.25,53.0,,46.0,59.1,,disagree,disagree,disagree,disagree,agree
1824,0.9429971097,male,12.0,w. nor. central,60.0,,22.0,31.0,25.0,17.5,very satisfied,agree,disagree,disagree,disagree,neither agree nor disagree
1825,0.9429971097,female,12.0,w. nor. central,58.0,112160.0,44.0,47.0,40.0,56.8,very satisfied,strongly agree,strongly disagree,disagree,strongly agree,agree
1826,0.9429971097,female,12.0,w. nor. central,28.0,,48.0,45.0,42.0,24.2,very satisfied,,,,,
1827,0.9429971097,female,16.0,w. nor. central,45.0,84120.0,64.0,38.0,46.0,71.8,very satisfied,disagree,strongly disagree,disagree,disagree,agree
1828,0.9429971097,female,11.0,w. nor. central,87.0,19277.5,35.0,25.0,65.0,34.6,,agree,agree,disagree,disagree,disagree
1829,0.4714985548,female,16.0,w. nor. central,56.0,98140.0,31.0,35.0,60.0,37.6,very dissatisfied,,,,,
1830,0.9429971097,male,12.0,w. nor. central,24.0,22782.5,24.0,35.0,58.0,17.1,very dissatisfied,strongly agree,disagree,disagree,disagree,agree
1831,0.9429971097,female,13.0,w. nor. central,72.0,47317.5,46.0,,,52.0,,strongly agree,disagree,disagree,strongly disagree,neither agree nor disagree
1832,0.9429971097,female,16.0,w. sou. central,49.0,38555.0,64.0,48.0,,82.5,very satisfied,agree,disagree,agree,disagree,agree
1833,0.9429971097,female,12.0,w. sou. central,25.0,11391.25,48.0,38.0,,24.2,very satisfied,,,,,
1834,0.4714985548,male,11.0,w. sou. central,53.0,7886.25,35.0,36.0,45.0,32.0,,,,,,
1835,0.9429971097,male,12.0,w. sou. central,23.0,14896.25,33.0,48.0,38.0,21.3,mod. satisfied,agree,strongly agree,disagree,strongly disagree,agree
1836,0.9429971097,female,12.0,w. sou. central,23.0,14896.25,28.0,28.0,,21.6,very dissatisfied,,,,,
1837,0.9429971097,female,14.0,w. sou. central,73.0,57832.5,40.0,,51.0,41.8,mod. satisfied,agree,agree,disagree,disagree,disagree
